EmployeeNumber,Attrition,Age,Gender,MaritalStatus,Education,EducationField,Department,JobRole,BusinessTravel,PerformanceIndex,JobInvolvement,JobLevel,PerformanceRating,MonthlyAchievement,MonthlyIncome,Incentive,StockOptionLevel,DistanceFromHome,OverTime,StandardHours,RemoteWork,FlexibleWork,WorkLifeBalance,StressRating,StressSelfReported,ExtendedLeave,WelfareBenefits,TrainingTimesLastYear,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,NumCompaniesWorked,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,HowToEmploy,InHouseFacility,ExternalFacility
991,Yes,31,Male,Single,2,Medical,Research & Development,Research Scientist,Non-Travel,46,2,1,3,10322,1875,0,0,9,7,40,4,0,3,3,3,0,1,0,3,1,1,0,4,3,2,1,2,agent_B,0,0
992,No,33,Male,Single,3,Life Sciences,Sales,Manager,Non-Travel,38,3,4,1,20489,9310,0,0,17,16,40,4,1,3,1,1,1,4,2,4,3,4,1,10,10,8,6,0,agent_A,1,1
994,Yes,29,Female,Single,3,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,92,2,1,4,11479,8720,0,0,10,10,40,3,0,3,3,3,0,1,5,4,1,3,6,3,0,0,0,0,intern,1,0
995,No,33,Female,Single,1,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,53,3,1,3,17241,6593,3131,0,13,17,40,5,0,3,4,4,0,1,4,2,4,1,3,5,3,2,0,2,intern,0,0
996,No,45,Female,Divorced,4,Medical,Research & Development,Laboratory Technician,Travel_Rarely,91,3,1,3,11005,8641,2364,2,1,0,40,3,1,3,2,2,0,3,2,4,4,4,3,8,5,3,0,2,intern,1,0
997,No,50,Male,Divorced,2,Medical,Research & Development,Research Director,Travel_Rarely,66,3,4,4,6615,6642,0,1,1,29,40,3,0,2,2,2,0,1,1,4,4,3,9,32,5,4,1,3,direct_recruiting,0,0
998,No,33,Female,Married,4,Other,Research & Development,Healthcare Representative,Travel_Frequently,84,4,2,1,20161,5860,0,1,1,5,40,2,1,3,3,1,0,3,2,3,2,1,1,6,6,5,1,2,agent_C,1,0
999,No,41,Male,Divorced,3,Medical,Research & Development,Research Director,Travel_Frequently,64,3,5,3,3735,10016,0,1,9,39,40,4,0,4,4,1,0,1,2,1,3,2,2,21,18,16,0,11,direct_recruiting,0,0
1399,Yes,26,Male,Married,1,Life Sciences,Research & Development,Sales Executive,Travel_Rarely,37,3,2,3,12086,7101,3372,1,18,35,40,3,0,3,4,3,0,1,2,3,2,2,2,7,4,3,2,3,intern,0,0
1002,No,45,Male,Married,2,Life Sciences,Research & Development,Laboratory Technician,Non-Travel,42,3,2,2,14039,4140,0,1,23,30,40,3,1,3,2,2,0,4,2,4,1,3,1,9,9,8,0,8,agent_C,1,0
1003,No,47,Female,Single,2,Life Sciences,Sales,Sales Executive,Travel_Rarely,83,3,2,3,8571,6760,1811,0,4,11,40,2,1,3,2,1,0,3,0,4,4,3,1,9,9,0,0,7,agent_A,1,1
1004,Yes,30,Female,Married,3,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,48,3,1,1,11539,4196,0,0,22,20,40,3,1,3,4,3,0,2,2,1,3,2,4,7,5,2,0,1,intern,0,0
1005,No,50,Male,Married,3,Life Sciences,Research & Development,Manufacturing Director,Travel_Rarely,95,3,4,3,4161,5962,0,1,24,9,40,4,1,3,2,1,0,3,2,4,3,4,3,22,12,11,1,5,intern,1,1
1006,No,38,Male,Married,1,Medical,Research & Development,Research Scientist,Travel_Frequently,66,3,1,3,12127,5743,2727,1,10,8,40,4,0,2,4,4,1,1,0,3,3,2,0,3,2,1,0,2,agent_A,0,0
1007,No,46,Male,Divorced,2,Medical,Research & Development,Manufacturing Director,Travel_Rarely,75,3,3,2,24208,6712,0,1,7,0,40,3,0,3,2,2,0,1,3,4,3,2,6,13,8,7,0,7,intern,0,0
1009,No,24,Female,Divorced,1,Medical,Research & Development,Manufacturing Director,Travel_Rarely,41,2,2,3,24117,6663,3164,2,17,9,40,4,0,3,2,2,1,1,6,4,3,2,1,5,4,2,3,2,intern,0,0
1010,Yes,35,Male,Divorced,4,Other,Research & Development,Laboratory Technician,Travel_Rarely,39,2,1,4,10074,6655,0,1,14,6,40,2,0,1,3,2,0,1,2,3,2,4,1,5,4,2,0,2,intern,0,0
1011,No,31,Female,Married,1,Life Sciences,Research & Development,Manufacturing Director,Travel_Frequently,96,3,2,2,11275,4599,0,1,1,21,40,1,1,3,2,2,1,3,1,3,1,3,1,4,4,3,0,3,intern,1,0
1012,No,18,Male,Single,2,Life Sciences,Research & Development,Research Scientist,Non-Travel,73,3,1,3,13493,10131,0,0,5,21,40,4,1,3,2,2,0,2,2,2,4,4,1,0,0,0,0,0,intern,1,1
1013,No,54,Female,Married,3,Technical Degree,Research & Development,Manufacturing Director,Travel_Rarely,56,3,3,1,13943,6491,0,1,17,19,40,3,1,3,1,1,1,3,2,3,3,3,8,22,10,7,0,8,agent_A,1,1
1014,No,35,Female,Divorced,4,Medical,Research & Development,Healthcare Representative,Travel_Rarely,57,3,3,1,6975,8810,0,1,25,4,40,5,1,2,3,1,0,3,3,3,3,3,1,16,16,10,10,1,intern,0,0
1015,No,30,Female,Married,2,Life Sciences,Research & Development,Research Director,Travel_Rarely,73,4,3,2,17802,8152,0,3,8,36,40,2,0,2,3,3,0,1,4,2,1,3,0,9,8,7,1,7,intern,0,0
1016,Yes,20,Female,Single,3,Medical,Research & Development,Research Scientist,Travel_Rarely,98,2,1,3,18275,6096,0,0,11,4,40,1,0,3,3,1,0,1,2,4,1,1,1,1,1,0,0,0,intern,1,0
1017,Yes,30,Female,Single,3,Medical,Research & Development,Laboratory Technician,Travel_Frequently,60,3,1,3,25725,5157,0,0,5,17,40,2,0,3,3,2,0,1,3,2,2,1,0,4,3,2,1,2,intern,0,0
1018,No,26,Male,Married,2,Medical,Research & Development,Manufacturing Director,Travel_Rarely,32,4,2,2,3334,10721,0,0,2,32,40,3,0,3,3,1,0,1,2,4,4,2,1,8,8,7,1,3,intern,0,0
1019,No,22,Male,Married,1,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,94,1,1,4,6881,8236,0,1,8,28,40,3,1,2,3,3,0,3,3,2,1,1,1,4,4,3,1,1,direct_recruiting,1,0
1022,No,48,Male,Single,3,Life Sciences,Research & Development,Healthcare Representative,Travel_Rarely,97,2,2,2,13119,7538,0,0,6,24,40,2,1,3,2,2,0,3,0,1,3,4,2,19,2,2,2,2,intern,1,1
1024,No,48,Male,Single,4,Life Sciences,Research & Development,Healthcare Representative,Travel_Rarely,78,2,3,3,22245,10944,5198,0,4,28,40,4,1,3,3,3,0,4,3,3,3,2,7,27,15,11,4,8,intern,1,1
1025,No,41,Female,Single,2,Medical,Research & Development,Manufacturing Director,Travel_Rarely,42,3,2,3,23371,6677,3171,0,7,4,40,3,1,3,1,1,0,2,6,4,3,2,6,8,2,2,2,1,intern,1,0
1026,No,39,Female,Married,1,Life Sciences,Research & Development,Manufacturing Director,Travel_Rarely,65,2,4,3,7060,3896,1850,1,1,38,40,3,1,3,2,2,1,4,3,4,4,3,1,21,21,6,11,8,agent_A,1,1
1027,No,27,Female,Married,4,Life Sciences,Research & Development,Manufacturing Director,Travel_Rarely,47,3,2,2,4658,7530,0,1,2,30,40,2,0,3,3,3,0,1,2,1,4,2,0,4,3,2,2,2,agent_B,0,0
1028,No,35,Male,Divorced,3,Other,Research & Development,Laboratory Technician,Travel_Rarely,45,3,1,4,9541,4976,2488,1,10,14,40,4,0,2,4,4,0,1,4,2,4,1,1,3,3,2,1,2,intern,0,0
1029,No,42,Male,Married,2,Marketing,Sales,Manager,Travel_Rarely,90,3,5,2,7770,5943,0,0,5,35,40,2,1,4,2,1,0,2,3,4,3,2,6,21,1,0,0,0,intern,1,0
1030,No,50,Male,Married,3,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,64,3,1,3,20165,7753,3682,0,9,2,40,5,1,3,2,1,0,3,5,1,4,2,4,8,1,0,0,0,intern,1,0
1032,No,59,Female,Single,3,Life Sciences,Research & Development,Manufacturing Director,Travel_Rarely,69,2,4,2,21829,7827,2348,0,2,1,40,3,0,3,2,1,0,1,4,3,4,1,3,30,5,3,4,3,direct_recruiting,1,0
1033,Yes,37,Female,Married,2,Medical,Research & Development,Healthcare Representative,Travel_Rarely,61,1,2,3,14382,3885,1554,0,11,15,40,3,0,1,3,3,0,1,2,1,2,1,5,15,1,0,0,0,agent_C,0,0
1034,No,55,Male,Married,4,Medical,Research & Development,Healthcare Representative,Travel_Frequently,62,3,2,2,12992,10440,2552,2,18,27,40,4,0,3,3,4,0,2,3,3,2,4,3,17,8,7,6,7,agent_C,0,0
98,No,32,Female,Divorced,4,Life Sciences,Research & Development,Manufacturing Director,Non-Travel,55,1,5,4,20284,6928,3464,2,8,8,40,4,1,3,2,2,1,3,3,2,3,2,1,12,12,8,2,9,intern,1,1
1036,No,38,Male,Single,4,Life Sciences,Sales,Sales Executive,Travel_Rarely,42,3,2,2,4981,11901,0,0,3,8,40,3,0,3,3,3,0,1,1,2,4,3,8,19,1,0,0,0,intern,0,0
1037,Yes,26,Male,Single,2,Medical,Sales,Sales Executive,Non-Travel,79,1,2,3,21813,9418,3767,0,29,12,40,3,0,3,4,3,0,1,6,2,1,4,8,7,2,2,2,2,agent_A,0,0
1038,Yes,52,Female,Married,1,Marketing,Sales,Manager,Travel_Rarely,57,1,5,3,25846,4847,0,1,2,8,40,3,1,3,2,1,0,4,3,1,4,4,1,33,32,14,6,9,intern,1,1
1039,No,44,Female,Married,3,Medical,Sales,Sales Executive,Travel_Rarely,53,4,4,3,11737,3775,1793,1,28,34,40,5,1,3,2,2,0,4,2,4,4,3,3,23,12,11,11,11,agent_A,1,0
1040,No,50,Female,Married,3,Life Sciences,Sales,Sales Executive,Non-Travel,95,3,2,2,24920,5311,0,1,1,22,40,1,1,3,1,1,1,4,3,4,3,1,0,19,18,7,0,13,direct_recruiting,1,1
1042,Yes,36,Female,Single,4,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,43,4,1,3,8269,5435,0,0,16,10,40,2,1,3,1,1,0,4,1,3,1,3,1,18,17,13,15,14,direct_recruiting,1,1
1043,No,39,Female,Single,3,Medical,Research & Development,Manufacturing Director,Travel_Frequently,82,3,3,2,5083,6492,0,0,22,17,40,3,0,3,4,2,0,1,2,4,1,3,1,21,21,6,2,8,intern,0,0
1044,No,33,Female,Single,1,Life Sciences,Sales,Sales Representative,Non-Travel,88,2,1,4,21437,10048,5024,0,8,4,40,4,1,2,2,2,1,3,2,2,4,4,0,3,2,2,2,2,New_graduate_recruitment,1,1
1045,No,45,Female,Married,2,Life Sciences,Sales,Manager,Travel_Rarely,90,3,4,2,5404,6061,0,1,11,1,40,3,1,4,2,2,0,2,4,4,4,2,3,26,9,3,1,1,direct_recruiting,1,0
1046,No,32,Female,Single,4,Medical,Research & Development,Laboratory Technician,Non-Travel,69,3,1,2,11135,7533,2259,0,29,26,40,5,1,3,2,1,1,3,2,4,3,2,9,10,8,7,7,7,intern,1,1
1047,No,34,Male,Divorced,4,Marketing,Sales,Sales Executive,Travel_Rarely,75,4,2,1,12278,8313,0,1,1,0,40,3,1,2,1,1,0,4,2,2,4,4,0,16,15,1,0,9,intern,1,1
1048,No,59,Male,Married,2,Technical Degree,Sales,Manager,Travel_Rarely,66,3,3,4,11038,5456,0,1,1,1,40,4,0,1,2,2,0,1,1,2,4,3,3,14,6,4,0,4,direct_recruiting,0,0
1049,No,45,Male,Single,4,Medical,Human Resources,Human Resources,Travel_Rarely,36,3,1,3,8318,9718,0,0,24,8,40,3,0,3,3,3,0,1,3,2,2,1,1,6,6,3,0,4,intern,0,0
1050,No,53,Female,Married,3,Marketing,Sales,Sales Executive,Travel_Frequently,38,2,3,2,23537,3405,0,1,2,39,40,2,1,3,2,1,1,4,2,3,2,1,2,30,15,7,6,12,New_graduate_recruitment,1,0
1052,Yes,36,Male,Divorced,3,Other,Research & Development,Laboratory Technician,Travel_Rarely,81,3,2,3,7858,7312,0,1,15,40,40,4,0,2,3,3,0,1,3,1,3,2,7,9,1,0,0,0,intern,0,0
1053,Yes,26,Male,Married,3,Life Sciences,Research & Development,Research Scientist,Travel_Frequently,57,3,1,2,15346,11403,0,1,2,10,40,1,0,3,5,2,0,2,2,1,1,2,6,6,3,2,1,2,agent_C,0,0
1055,No,34,Female,Married,4,Life Sciences,Sales,Sales Representative,Travel_Rarely,87,3,1,3,18410,7720,3667,1,10,24,40,2,1,3,2,2,1,3,2,3,3,4,1,1,1,1,0,0,agent_C,1,0
1056,No,28,Male,Married,1,Medical,Sales,Sales Representative,Travel_Rarely,74,3,1,4,23384,9724,4862,0,10,34,40,4,1,3,3,1,0,2,5,4,2,2,1,1,1,0,0,0,intern,0,0
1060,No,38,Male,Married,4,Other,Research & Development,Research Scientist,Travel_Frequently,44,3,1,3,2997,6234,0,1,3,0,40,2,0,3,3,4,0,2,2,3,3,1,3,8,2,2,2,2,intern,0,0
1061,No,50,Male,Married,4,Medical,Research & Development,Research Director,Travel_Rarely,62,3,5,1,12853,7807,0,1,2,7,40,2,0,2,3,4,0,1,2,2,3,4,2,29,8,1,7,7,intern,0,0
1062,No,37,Female,Single,3,Other,Research & Development,Healthcare Representative,Travel_Rarely,35,3,2,3,13848,4205,1997,0,3,28,40,3,0,2,3,2,0,1,3,4,2,1,3,8,4,3,0,1,intern,0,0
1066,No,40,Male,Married,3,Marketing,Sales,Sales Executive,Travel_Rarely,74,3,2,3,22217,8750,4156,1,26,4,40,4,1,2,4,3,0,2,3,3,1,2,1,8,7,7,7,5,intern,0,0
1068,No,26,Female,Divorced,1,Medical,Research & Development,Research Scientist,Travel_Frequently,66,2,1,2,25265,5299,1589,2,1,11,40,2,0,3,3,3,0,2,5,1,3,3,1,5,5,3,1,3,intern,0,0
1069,No,46,Male,Divorced,4,Medical,Research & Development,Research Director,Travel_Rarely,40,3,5,3,21445,4984,2367,2,1,26,40,3,0,3,2,2,0,1,0,4,4,4,9,23,2,2,2,2,agent_A,0,0
1070,No,54,Female,Married,4,Life Sciences,Sales,Sales Executive,Travel_Rarely,41,2,3,1,8392,8239,0,1,2,5,40,2,1,3,2,1,1,4,4,3,3,2,6,13,9,4,7,0,direct_recruiting,1,1
1071,No,56,Female,Married,3,Medical,Research & Development,Research Scientist,Travel_Frequently,63,3,1,4,12154,8196,3958,1,9,15,40,4,0,3,4,4,0,1,4,1,3,2,2,18,5,4,0,3,agent_A,0,0
1073,No,36,Female,Single,5,Medical,Research & Development,Manufacturing Director,Travel_Rarely,51,2,3,1,15669,8253,0,0,12,23,40,4,0,2,3,3,0,1,2,4,4,2,0,15,14,8,7,8,agent_C,0,0
1074,No,55,Male,Single,1,Medical,Research & Development,Manager,Non-Travel,40,2,4,4,17323,4718,2359,0,2,8,40,2,0,4,2,2,0,1,3,3,1,2,7,31,9,7,6,2,intern,1,0
1076,No,43,Male,Divorced,3,Medical,Sales,Sales Executive,Travel_Rarely,79,2,3,2,5268,5162,106,1,25,14,40,5,1,3,2,2,0,3,5,3,4,3,5,18,1,0,0,0,intern,1,1
1077,Yes,20,Female,Single,3,Marketing,Sales,Sales Representative,Travel_Frequently,54,3,1,2,17205,5460,0,0,9,1,40,4,0,3,5,4,0,1,3,4,4,2,1,2,2,2,0,2,agent_B,0,0
1079,Yes,21,Female,Single,3,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,36,2,1,2,17258,5350,0,0,10,35,40,1,0,2,3,3,0,1,6,3,1,1,1,1,1,0,1,0,intern,1,0
1080,No,46,Female,Divorced,4,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,74,2,2,3,21029,6208,2948,3,8,21,40,3,1,3,2,1,1,4,2,4,1,1,8,19,16,13,1,7,agent_B,1,1
1081,Yes,51,Male,Married,4,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,34,3,1,2,10332,7171,0,3,4,12,40,2,1,4,2,1,0,4,2,1,3,3,9,18,10,0,2,7,direct_recruiting,1,0
1082,Yes,28,Male,Single,2,Technical Degree,Research & Development,Healthcare Representative,Non-Travel,72,2,3,2,12355,4842,0,0,24,6,40,4,0,2,5,3,0,1,2,2,1,1,1,10,10,7,1,9,intern,0,0
1083,No,26,Male,Married,2,Medical,Research & Development,Laboratory Technician,Travel_Rarely,59,2,1,3,11141,6967,3309,2,1,25,40,2,0,3,4,4,0,2,2,1,1,1,1,6,5,3,1,3,agent_A,0,0
1084,No,30,Male,Married,3,Other,Research & Development,Manufacturing Director,Travel_Rarely,85,3,2,3,9096,7715,1381,1,20,15,40,4,0,2,3,3,0,1,1,3,1,3,0,7,6,2,0,2,New_graduate_recruitment,0,0
1085,No,41,Female,Married,2,Technical Degree,Research & Development,Research Scientist,Travel_Rarely,43,4,1,2,18863,6010,1803,0,7,21,40,2,1,3,2,2,0,4,3,2,3,3,1,10,10,6,0,8,intern,1,0
1088,No,38,Female,Married,1,Life Sciences,Research & Development,Healthcare Representative,Travel_Rarely,65,2,3,3,24608,4049,1923,1,17,5,40,3,1,2,3,1,1,4,4,3,3,1,0,20,19,9,1,9,agent_A,1,0
1092,No,40,Male,Married,4,Technical Degree,Research & Development,Healthcare Representative,Travel_Rarely,61,3,3,4,26542,8064,4032,1,20,7,40,5,1,3,4,4,0,3,6,1,4,4,4,14,11,10,11,1,intern,0,0
1094,No,27,Male,Married,5,Life Sciences,Research & Development,Laboratory Technician,Non-Travel,87,1,1,4,5869,11106,0,3,8,4,40,4,1,3,2,1,1,4,4,1,3,4,1,3,3,2,1,2,intern,1,1
1096,No,55,Male,Married,1,Life Sciences,Research & Development,Manufacturing Director,Travel_Frequently,65,3,3,3,15813,6383,3031,1,2,0,40,2,0,3,3,3,0,1,4,4,2,2,3,23,3,2,1,2,agent_A,0,0
1097,No,28,Female,Single,3,Other,Research & Development,Research Scientist,Travel_Rarely,59,3,2,2,7909,8567,0,0,10,7,40,2,1,4,2,2,0,3,4,3,3,4,3,10,8,7,1,7,intern,1,0
1098,Yes,44,Male,Married,2,Medical,Human Resources,Human Resources,Travel_Rarely,91,2,3,2,2326,6276,0,1,1,19,40,0,1,3,2,2,0,4,1,2,1,4,9,24,20,6,3,6,agent_B,1,1
1099,No,33,Male,Divorced,3,Life Sciences,Research & Development,Healthcare Representative,Travel_Rarely,34,2,3,3,21214,5600,2660,1,5,37,40,3,1,3,1,1,1,4,2,4,4,3,4,9,3,2,1,2,intern,1,1
1100,Yes,35,Male,Single,3,Technical Degree,Sales,Sales Executive,Travel_Rarely,86,3,3,4,10333,5065,0,0,4,16,40,2,1,3,2,1,0,3,2,4,1,1,0,9,8,7,4,7,direct_recruiting,1,1
1101,Yes,33,Female,Single,4,Medical,Research & Development,Research Scientist,Travel_Frequently,54,2,2,3,3129,7708,0,0,29,4,40,0,0,3,4,3,0,2,4,1,3,2,1,14,13,7,3,8,agent_B,1,0
1102,No,28,Male,Divorced,2,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,50,3,1,3,22482,7650,3633,1,15,8,40,4,0,2,4,3,0,1,5,1,3,4,1,4,4,2,2,2,agent_A,0,0
1103,No,34,Male,Single,1,Life Sciences,Research & Development,Healthcare Representative,Travel_Frequently,45,3,2,3,22266,2094,994,0,3,18,40,3,0,2,3,3,0,1,1,1,4,3,0,7,6,2,0,4,intern,0,0
1105,No,37,Female,Divorced,4,Life Sciences,Sales,Sales Executive,Travel_Rarely,88,2,2,3,24223,7574,3597,3,10,34,40,4,1,3,3,3,0,2,5,4,4,3,2,8,1,0,0,0,intern,0,0
1106,Yes,25,Male,Married,1,Technical Degree,Research & Development,Laboratory Technician,Travel_Rarely,32,3,1,3,4605,5065,0,1,4,35,40,3,1,4,1,1,0,4,3,4,4,2,1,7,7,7,5,6,intern,1,1
1107,Yes,26,Male,Divorced,3,Medical,Research & Development,Laboratory Technician,Travel_Rarely,37,3,1,4,19373,3826,0,1,21,31,40,5,0,2,3,3,0,1,0,1,3,3,1,1,1,1,0,0,intern,0,0
1108,Yes,33,Male,Single,3,Medical,Research & Development,Research Scientist,Travel_Rarely,55,2,1,4,2993,3603,0,0,25,2,40,4,0,3,2,1,0,1,0,1,2,2,4,5,2,2,2,2,intern,0,0
1109,No,42,Male,Married,2,Medical,Research & Development,Manager,Travel_Rarely,35,3,4,3,14399,3716,0,1,2,4,40,2,1,3,1,1,1,4,3,4,1,4,0,23,22,6,13,7,intern,1,1
1111,Yes,28,Male,Divorced,3,Medical,Research & Development,Laboratory Technician,Travel_Frequently,45,2,1,3,7160,5331,0,2,1,17,40,1,1,3,1,1,1,4,2,1,2,1,1,1,1,0,0,0,agent_B,1,1
1113,Yes,50,Male,Single,4,Other,Sales,Sales Executive,Travel_Frequently,81,3,2,3,17251,6634,2653,0,1,8,40,2,0,3,1,1,0,3,4,4,3,4,3,5,0,0,0,0,intern,1,1
1114,No,33,Female,Married,3,Life Sciences,Sales,Sales Executive,Travel_Frequently,30,3,2,3,13401,5732,2722,1,7,2,40,2,0,3,3,2,0,2,3,4,2,3,0,4,3,2,0,2,New_graduate_recruitment,0,0
1115,No,34,Male,Married,4,Life Sciences,Research & Development,Research Scientist,Non-Travel,40,2,1,3,22478,7847,3727,3,3,10,40,4,1,3,1,1,1,4,2,3,4,4,3,6,0,0,0,0,intern,1,1
1116,No,48,Male,Single,4,Medical,Research & Development,Manager,Non-Travel,35,4,4,4,16154,8518,4259,0,1,0,40,3,0,2,2,1,0,1,3,1,4,3,2,27,5,4,2,1,intern,1,0
1117,No,45,Female,Married,4,Life Sciences,Sales,Sales Executive,Non-Travel,65,2,2,2,17970,6890,0,1,9,3,40,3,1,3,3,1,1,4,2,2,3,4,1,15,15,10,4,12,agent_B,1,1
1118,No,52,Male,Single,4,Life Sciences,Research & Development,Healthcare Representative,Travel_Rarely,87,3,3,3,15322,6691,3178,0,7,19,40,2,0,3,3,3,0,2,4,2,2,4,7,18,8,6,4,0,agent_C,1,0
1119,No,38,Male,Divorced,4,Marketing,Sales,Sales Executive,Travel_Rarely,73,2,3,2,5569,8774,0,2,10,2,40,4,1,3,2,2,1,3,2,3,3,2,0,9,8,7,2,7,agent_C,1,0
1120,No,29,Female,Divorced,4,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,93,3,1,4,26968,6085,3042,1,28,14,40,5,1,3,2,1,0,4,1,3,4,1,4,11,7,5,1,7,intern,1,1
1121,No,28,Female,Divorced,3,Medical,Research & Development,Manufacturing Director,Travel_Rarely,93,3,3,3,8039,6490,1549,3,3,18,40,2,0,2,3,3,1,1,3,4,2,2,0,10,9,7,1,7,intern,0,0
1124,No,46,Male,Married,1,Marketing,Sales,Manager,Travel_Rarely,52,3,4,2,15596,7007,2102,1,3,21,40,3,1,3,2,2,0,3,3,1,3,4,3,23,12,9,4,9,intern,1,0
1125,No,38,Male,Single,2,Marketing,Sales,Sales Executive,Travel_Rarely,32,3,3,3,20619,4568,2169,0,2,19,40,2,0,3,2,1,0,2,2,4,2,3,7,10,1,0,0,0,intern,1,0
1126,No,43,Female,Married,3,Life Sciences,Research & Development,Manufacturing Director,Travel_Frequently,83,3,3,1,11535,5853,0,1,27,61,40,3,1,3,5,5,0,2,1,3,1,3,8,18,8,7,0,1,intern,0,0
1127,No,39,Male,Divorced,3,Life Sciences,Research & Development,Healthcare Representative,Travel_Frequently,84,3,4,1,13547,8832,0,3,2,12,40,3,0,3,3,4,0,3,4,1,4,4,7,21,18,7,11,5,intern,0,0
1128,No,40,Male,Single,3,Medical,Research & Development,Research Director,Travel_Rarely,44,2,5,3,17544,6168,0,0,14,40,40,4,1,4,2,2,0,4,2,3,3,1,1,21,20,7,4,9,intern,1,1
1131,No,21,Female,Single,1,Technical Degree,Research & Development,Research Scientist,Travel_Rarely,70,2,1,1,25326,5075,0,0,1,19,40,1,0,4,3,3,0,1,6,4,2,3,1,2,2,2,2,2,agent_C,1,0
1132,No,39,Male,Single,3,Life Sciences,Research & Development,Laboratory Technician,Non-Travel,70,3,2,3,8770,6586,2184,0,9,14,40,1,1,2,2,1,1,3,2,3,2,3,9,9,5,4,0,3,intern,1,1
1133,No,36,Male,Single,4,Life Sciences,Research & Development,Manufacturing Director,Non-Travel,78,3,2,4,23238,7116,0,0,18,13,40,4,0,3,3,3,0,2,0,1,4,1,2,18,11,9,0,9,New_graduate_recruitment,1,0
1135,No,31,Male,Married,3,Life Sciences,Sales,Sales Representative,Travel_Frequently,67,4,1,2,21981,7102,2130,1,20,41,40,4,0,3,3,2,0,2,4,3,4,1,0,3,2,2,2,2,intern,0,0
1136,No,28,Male,Married,1,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,67,2,1,3,19911,6796,0,0,2,0,40,2,0,1,3,2,0,2,2,1,2,1,0,6,5,3,0,4,intern,1,0
1137,No,35,Male,Divorced,2,Marketing,Sales,Sales Executive,Travel_Frequently,54,3,2,1,18500,5773,0,1,11,7,40,3,0,3,2,3,0,2,3,4,4,4,1,5,5,2,0,2,intern,0,0
1138,No,49,Male,Married,4,Technical Degree,Sales,Sales Executive,Travel_Rarely,56,2,4,3,11879,10439,1440,1,8,30,40,2,1,3,2,2,1,4,3,4,2,2,6,22,9,8,2,3,intern,1,1
1140,No,34,Male,Single,2,Life Sciences,Research & Development,Manufacturing Director,Travel_Frequently,95,3,2,1,15834,5318,0,0,2,29,40,1,0,2,3,3,1,1,3,4,3,4,2,5,3,2,0,2,intern,1,0
1143,No,29,Female,Divorced,3,Life Sciences,Research & Development,Research Scientist,Travel_Frequently,61,3,1,3,17940,5667,2691,2,10,32,40,1,0,2,3,3,0,1,2,4,2,4,0,8,7,5,1,1,intern,0,0
1148,No,42,Male,Single,3,Medical,Research & Development,Laboratory Technician,Travel_Rarely,56,1,2,4,9558,6540,0,0,29,13,40,5,0,3,3,1,0,1,3,2,4,1,4,16,1,0,0,0,intern,0,0
1150,No,29,Male,Married,1,Medical,Research & Development,Manufacturing Director,Travel_Rarely,79,2,2,3,17689,4785,2272,1,8,3,40,3,0,2,3,3,0,1,2,2,4,3,1,10,10,7,1,2,agent_B,0,0
1152,No,38,Male,Married,3,Human Resources,Human Resources,Human Resources,Travel_Rarely,37,4,1,2,6004,3228,968,1,1,20,40,2,1,4,2,2,1,4,2,3,3,4,1,7,7,6,5,0,intern,1,0
1154,No,28,Male,Divorced,3,Life Sciences,Research & Development,Research Scientist,Travel_Frequently,39,2,1,3,22088,4106,1950,1,6,9,40,2,0,3,2,2,0,2,2,3,3,4,1,3,3,1,0,2,New_graduate_recruitment,0,0
1156,Yes,18,Male,Single,1,Medical,Research & Development,Laboratory Technician,Non-Travel,80,3,1,2,13556,8163,0,0,8,58,40,3,1,3,3,3,0,3,0,3,3,4,1,0,0,0,0,0,intern,1,1
1157,Yes,33,Female,Single,4,Marketing,Sales,Sales Executive,Travel_Rarely,77,3,2,3,18385,9070,0,0,9,17,40,1,0,3,5,4,0,1,3,1,1,1,0,6,5,2,0,3,intern,0,0
1158,No,41,Male,Married,4,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,46,3,1,1,9051,9262,0,1,12,41,40,4,0,3,3,4,0,1,4,2,4,1,3,6,1,0,0,0,agent_A,0,0
1160,Yes,31,Male,Married,3,Medical,Research & Development,Laboratory Technician,Travel_Frequently,72,3,1,2,6233,6547,0,1,15,18,40,2,0,2,3,2,0,2,5,3,3,3,1,2,2,2,2,2,intern,0,0
1161,No,37,Female,Divorced,2,Medical,Research & Development,Healthcare Representative,Travel_Rarely,52,2,2,2,17171,5991,0,2,25,25,40,4,1,3,2,1,1,4,2,3,4,3,7,9,6,2,1,3,agent_B,1,1
